propertyType,rooms,size,buildYear,cluster_100m,adj_price,cluster_1000m,avg_adjusted_sqm_price_100m,avg_adjusted_sqm_price_1000m
3,3.0,81,2004,64,2932254,0,36200,34841
3,2.0,54,1988,3,2173913,0,40256,42193
3,2.0,65,2011,1,2730030,0,42000,44189
3,3.0,94,2019,20,5559150,0,59139,51831
3,2.0,59,1857,1,2502527,0,42415,44189
3,3.0,63,1927,1,2628918,0,41728,44189
3,2.0,64,1827,1,2992922,0,46764,44189
3,4.0,120,1967,40,3993933,0,33282,34035
3,2.0,61,1958,32,1946410,0,31907,35933
3,2.0,62,1905,5,2780586,0,44847,45759
3,5.0,144,1938,5,6317492,0,43870,45759
3,3.0,89,2016,26,3943377,0,44307,46240
3,3.0,78,1939,4,2740141,0,35129,32232
3,2.0,58,1893,5,3088978,0,53257,45759
3,3.0,99,2005,36,2626895,0,26533,31658
3,2.0,50,1900,1,2123356,0,42467,44189
3,2.0,52,2007,6,1936299,0,37235,35867
3,3.0,71,1930,1,3083923,0,43434,44189
3,4.0,100,1900,1,3286147,0,32861,44189
3,5.0,158,1937,5,6420626,0,40635,45759
3,2.0,53,1897,1,2209302,0,41684,44189
3,3.0,79,1997,65,2062689,0,26109,27997
3,3.0,126,2014,0,5510616,0,43734,47731
3,2.0,52,1930,1,2416582,0,46472,44189
3,2.0,65,1948,11,2020222,0,31079,34667
3,3.0,66,1910,5,3463094,0,52470,45759
3,3.0,130,1968,43,2831142,0,21777,25348
3,3.0,78,1930,1,3387259,0,43425,44189
3,3.0,76,1901,5,2942366,0,38714,45759
3,4.0,133,1882,1,5131445,0,38581,44189
3,4.0,109,1870,1,4093023,0,37550,44189
3,3.0,92,1927,1,4246713,0,46159,44189
3,3.0,76,1970,29,3336703,0,43903,42944
3,3.0,100,1950,10,2578361,0,25783,31481
3,2.0,75,1968,4,1921132,0,25614,32232
3,2.0,48,1902,5,2426693,0,50556,45759
3,2.0,56,1962,3,1870576,0,33402,42193
3,3.0,74,1867,1,3230535,0,43655,44189
3,2.0,53,1913,5,2037411,0,38440,45759
3,2.0,61,1938,6,1840242,0,30167,35867
3,2.0,62,1938,1,2128412,0,34328,44189
3,4.0,129,1932,1,9504550,0,73678,44189
3,2.0,60,2017,1,2818503,0,46974,44189
3,2.0,67,2017,0,3159757,0,47159,47731
3,2.0,49,1902,1,2214357,0,45190,44189
3,4.0,125,1909,1,5333670,0,42669,44189
3,3.0,85,1968,10,2704752,0,31820,31481
3,2.0,64,1930,1,2325581,0,36336,44189
3,2.0,54,1907,5,2826086,0,52334,45759
3,3.0,98,1933,8,3564206,0,36369,40575
3,2.0,67,1944,15,1789686,0,26710,37312
3,3.0,87,1912,5,3993933,0,45906,45759
3,3.0,75,1907,5,3968655,0,52915,45759
3,1.0,50,1988,3,1820020,0,36400,42193
3,3.0,80,2013,0,2932254,0,36653,47731
3,3.0,105,2022,0,6268958,0,59703,47731
3,2.0,55,1917,1,2522750,0,45867,44189
3,3.0,73,2017,1,3039433,0,41635,44189
3,3.0,85,2019,20,4949443,0,58228,51831
3,5.0,131,1929,8,5308392,0,40521,40575
3,2.0,57,1917,1,2735085,0,47983,44189
3,2.0,63,1936,6,1809908,0,28728,35867
3,2.0,60,1937,1,2224469,0,37073,44189
3,2.0,69,1891,1,2957532,0,42862,44189
3,2.0,110,1913,5,5631951,0,51199,45759
3,3.0,86,1966,38,1870576,0,21750,22480
3,2.0,53,2017,0,2515672,0,47465,47731
3,4.0,83,1950,10,2831142,0,34109,31481
3,2.0,36,1908,5,1809908,0,50275,45759
3,3.0,85,1927,1,4019211,0,47284,44189
3,3.0,112,2022,0,5485338,0,48975,47731
3,3.0,81,1887,5,4373104,0,53988,45759
3,4.0,118,2022,0,5050556,0,42800,47731
3,2.0,78,2013,0,2930232,0,37566,47731
3,2.0,44,1890,1,1820020,0,41364,44189
3,3.0,93,2014,66,2982810,0,32072,45904
3,5.0,158,1890,67,8998988,0,56955,56955
3,3.0,111,2022,20,6825075,0,61486,51831
3,3.0,83,2017,1,3741152,0,45073,44189
3,4.0,188,2022,20,11223458,0,59698,51831
3,3.0,80,1927,1,3816986,0,47711,44189
3,2.0,69,1934,8,2401415,0,34802,40575
3,3.0,87,1910,5,4383215,0,50381,45759
3,4.0,110,2016,26,5662285,0,51475,46240
3,3.0,84,2022,20,4347826,0,51759,51831
3,2.0,60,1937,1,2810920,0,46848,44189
3,3.0,89,1893,5,4649140,0,52236,45759
3,4.0,102,1938,5,4494438,0,44062,45759
3,2.0,57,1933,5,2416582,0,42395,45759
3,2.0,73,2009,6,2477249,0,33934,35867
3,3.0,62,1930,5,2881698,0,46478,45759
3,3.0,73,1955,15,2421638,0,33172,37312
3,4.0,121,1970,68,2350859,0,19427,21566
3,2.0,68,1933,5,3260869,0,47953,45759
3,3.0,63,1869,1,2628918,0,41728,44189
3,3.0,62,1890,69,2269969,0,36611,37914
3,3.0,113,2019,20,5813953,0,51449,51831
3,2.0,74,1969,3,2906976,0,39283,42193
3,2.0,66,1931,1,2861476,0,43354,44189
3,2.0,64,1938,32,2173913,0,33966,35933
3,2.0,44,1892,1,1921132,0,43661,44189
3,2.0,59,1910,5,3185035,0,53982,45759
3,3.0,109,1885,1,4423660,0,40583,44189
3,3.0,89,1961,32,2431749,0,27322,35933
3,2.0,55,2013,21,2436804,0,44305,47239
3,7.0,230,1900,1,6926188,0,30113,44189
3,2.0,98,1912,5,4676440,0,47717,45759
3,2.0,57,1925,1,2224469,0,39025,44189
3,4.0,140,2010,46,3589484,0,25639,29184
3,2.0,78,2013,0,2568250,0,32926,47731
3,3.0,96,2017,1,4017189,0,41845,44189
3,3.0,84,1925,1,3286147,0,39120,44189
3,2.0,52,1899,1,2082912,0,40055,44189
3,3.0,84,1967,15,2881698,0,34305,37312
3,3.0,87,1865,1,3230535,0,37132,44189
3,2.0,60,1914,5,2982810,0,49712,45759
3,2.0,65,1931,8,2831142,0,43555,40575
3,4.0,135,2022,13,7583417,0,56172,49653
3,3.0,97,2019,20,5283114,0,54464,51831
3,2.0,65,1951,10,2122345,0,32651,31481
3,3.0,135,2022,0,6673407,0,49431,47731
3,5.0,146,2013,0,5156723,0,35319,47731
3,2.0,54,1943,4,1845298,0,34171,32232
3,3.0,93,1914,1,3740141,0,40216,44189
3,3.0,73,1938,70,2020222,0,27673,31145
3,4.0,106,1898,1,4519716,0,42638,44189
3,2.0,67,1890,5,2224469,0,33200,45759
3,2.0,66,1938,4,2098078,0,31788,32232
3,3.0,78,2022,20,4817997,0,61768,51831
3,3.0,76,1957,4,2187057,0,28776,32232
3,2.0,65,1900,5,2152679,0,33117,45759
3,4.0,149,2022,0,7884732,0,52917,47731
3,2.0,58,2019,20,3185035,0,54914,51831
3,4.0,119,1976,1,5864509,0,49281,44189
3,2.0,63,2017,0,2932254,0,46542,47731
3,3.0,86,1968,10,2704752,0,31449,31481
3,4.0,93,1917,1,3488372,0,37508,44189
3,4.0,97,1892,1,3437815,0,35440,44189
3,6.0,175,1899,1,6059656,0,34625,44189
3,3.0,92,2022,71,2325581,7,25278,23046
3,3.0,106,2022,0,6319514,0,59617,47731
3,2.0,62,1905,5,2628918,0,42401,45759
3,3.0,84,1920,1,3513650,0,41829,44189
3,2.0,72,1935,5,3134479,0,43533,45759
3,2.0,67,1936,3,3099089,0,46254,42193
3,4.0,99,1929,1,5131445,0,51832,44189
3,2.0,58,2023,5,3058645,0,52735,45759
3,3.0,91,2019,20,4853387,0,53333,51831
3,5.0,148,2010,72,5712841,5,38599,30953
3,3.0,77,2017,1,3392315,0,44055,44189
3,4.0,169,1969,2,6976744,0,41282,37211
3,4.0,74,1970,29,2472194,0,33407,42944
3,3.0,97,2016,26,4196157,0,43258,46240
3,2.0,58,1920,1,2704752,0,46632,44189
